,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,8,27,40.76727216,-73.99392888,72,1,In Service,False,39
1,0,32,40.71911552,-74.00666661,79,1,In Service,False,33
2,2,23,40.71117416,-74.00016545,82,1,In Service,False,27
3,35,24,40.68382604,-73.97632328,83,1,In Service,False,62
4,14,5,40.69608941,-73.97803415,119,1,In Service,False,19
5,17,2,40.68676793,-73.95928168,120,1,In Service,False,19
6,19,9,40.73172428,-74.00674436,127,1,In Service,False,31
7,7,23,40.72710258,-74.00297088,128,1,In Service,False,30
8,0,23,40.69239502,-73.99337909,143,1,In Service,False,24
9,17,2,40.69839895,-73.98068914,144,1,In Service,False,19
10,4,35,40.71625008,-74.0091059,146,1,In Service,False,39
11,12,16,40.7208736,-73.98085795,150,1,In Service,False,29
12,3,26,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
13,0,24,40.71473993,-74.00910627,152,3,Not In Service,False,24
14,22,0,40.69089272,-73.99612349,157,1,In Service,False,23
15,29,5,40.72917025,-73.99810231,161,1,In Service,False,35
16,0,47,40.75323098,-73.97032517,164,1,In Service,False,47
17,1,40,40.7489006,-73.97604882,167,1,In Service,False,45
18,2,44,40.73971301,-73.99456405,168,1,In Service,False,47
19,4,45,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
20,7,23,40.7381765,-73.97738662,174,1,In Service,False,30
21,1,43,40.70905623,-74.01043382,195,1,In Service,False,45
22,0,26,40.74334935,-74.00681753,212,1,In Service,False,28
23,8,15,40.70037867,-73.99548059,216,1,In Service,False,23
24,18,21,40.70277159,-73.99383605,217,1,In Service,False,39
25,27,4,40.73781509,-73.99994661,223,1,In Service,False,33
26,0,55,40.7546011026,-73.971878855,228,1,In Service,False,55
27,1,20,40.72743423,-73.99379025,229,1,In Service,False,23
28,5,18,40.69597683,-73.99014892,232,1,In Service,False,23
29,35,3,40.7284186,-73.98713956,236,1,In Service,False,39
30,38,1,40.73047309,-73.98672378,237,1,In Service,False,39
31,28,0,40.7361967,-74.00859207,238,1,In Service,False,31
32,3,25,40.69196566,-73.9813018,239,1,In Service,False,31
33,17,2,40.68981035,-73.97493121,241,1,In Service,False,23
34,2,21,40.697787,-73.973736,242,1,In Service,False,23
35,22,8,40.688226,-73.979382,243,1,In Service,False,31
36,22,9,40.69196035,-73.96536851,244,1,In Service,False,31
37,13,10,40.69327018,-73.97703874,245,1,In Service,False,23
38,20,0,40.73535398,-74.00483091,247,1,In Service,False,20
39,0,22,40.72185379,-74.00771779,248,1,In Service,False,23
40,1,25,40.71870987,-74.0090009,249,1,In Service,False,27
41,3,22,40.72317958,-73.99480012,251,1,In Service,False,27
